id,action_time,object_id,object_repr,change_message,content_type_id,user_id,action_flag
1,2018-05-06 11:04:30.538333,11,,,7,1,3
2,2018-05-06 11:04:30.757097,10,,,7,1,3
3,2018-05-06 11:04:30.897737,9,,,7,1,3
4,2018-05-06 11:04:31.053989,8,2018-05-06 10:48:51.996634+00:00,,7,1,3
5,2018-05-06 11:04:31.194638,7,2018-05-06 10:48:51.996634+00:00,,7,1,3
6,2018-05-06 11:04:31.342604,6,2018-05-06 10:48:51.996634+00:00,,7,1,3
7,2018-05-06 11:04:31.486303,5,2018-05-06 10:48:51.996634+00:00,,7,1,3
8,2018-05-06 11:04:31.626939,4,2018-05-06 10:48:51.996634+00:00,,7,1,3
9,2018-05-06 11:04:31.767588,3,2018-05-06 10:48:51.996634+00:00,,7,1,3
10,2018-05-06 11:04:31.932259,2,2018-05-06 10:48:51.996634+00:00,,7,1,3
11,2018-05-06 11:04:32.108256,1,2018-05-06 10:48:51.996634+00:00,,7,1,3
12,2019-02-25 13:48:19.973391,2,khai,"[{""added"": {}}]",4,1,1
13,2019-02-25 13:49:56.956733,87,,,7,1,3
14,2019-02-25 13:49:59.295645,86,,,7,1,3
15,2019-02-25 13:50:13.645330,88,1234,"[{""added"": {}}]",7,1,1
